year,origin_name,destination_name,industry,export_share,export_share_ind
2007,Algeria,Mexico,Mineral products,0.03257583573561798,0.4091217689350289
2007,Andorra,Mexico,Machinery/Elec. Equip,1.2737501326285135e-05,3.753735258801359e-05
2007,Andorra,Mexico,Other,1.2737501326285135e-05,7.945803217511655e-05
2007,Azerbaijan,Mexico,Agri_Food,7.58244931746733e-06,9.700932216416723e-05
2007,Argentina,Mexico,Agri_Food,0.6054262823823031,1.066054567577849
2007,Argentina,Mexico,Mineral products,0.6054262823823031,1.1790874459415264
2007,Argentina,Mexico,Chemical,0.6054262823823031,0.398567146760191
2007,Argentina,Mexico,Plastic/Rubbers,0.6054262823823031,0.16439488136651478
2007,Argentina,Mexico,Raw Hide,0.6054262823823031,4.80455162811913
2007,Argentina,Mexico,Wood Products,0.6054262823823031,0.2114037443439909
2007,Argentina,Mexico,Textiles,0.6054262823823031,0.30992641693040124
2007,Argentina,Mexico,Footwears,0.6054262823823031,0.08769526430300799
2007,Argentina,Mexico,Base metal,0.6054262823823031,0.5508020729029696
2007,Argentina,Mexico,Machinery/Elec. Equip,0.6054262823823031,0.12821180210597993
2007,Argentina,Mexico,Vehicle,0.6054262823823031,1.7774648916126445
2007,Argentina,Mexico,Optical/Photo. Instr.,0.6054262823823031,0.09668493244731147
2007,Argentina,Mexico,Other,0.6054262823823031,0.1887240435508133
2007,Australia,Mexico,Agri_Food,0.22555511308985396,0.4284437379526772
2007,Australia,Mexico,Mineral products,0.22555511308985396,1.3599399246803126
2007,Australia,Mexico,Chemical,0.22555511308985396,0.28101735109891957
2007,Australia,Mexico,Plastic/Rubbers,0.22555511308985396,0.01990631292753718
2007,Australia,Mexico,Raw Hide,0.22555511308985396,2.092327876873713
2007,Australia,Mexico,Wood Products,0.22555511308985396,0.0018208257133495434
2007,Australia,Mexico,Textiles,0.22555511308985396,0.03492878462849973
2007,Australia,Mexico,Footwears,0.22555511308985396,0.003036350768528759
2007,Australia,Mexico,Base metal,0.22555511308985396,0.1121207221915009
2007,Australia,Mexico,Machinery/Elec. Equip,0.22555511308985396,0.09113961102629463
2007,Australia,Mexico,Vehicle,0.22555511308985396,0.00899716387426494
2007,Australia,Mexico,Optical/Photo. Instr.,0.22555511308985396,0.039767603373473834
2007,Australia,Mexico,Other,0.22555511308985396,0.03349216932091268
2007,Austria,Mexico,Agri_Food,0.1988477962469873,0.11901218184878365
2007,Austria,Mexico,Mineral products,0.1988477962469873,0.000914325339803083
2007,Austria,Mexico,Chemical,0.1988477962469873,0.22464011255898914
2007,Austria,Mexico,Plastic/Rubbers,0.1988477962469873,0.07177034661837234
2007,Austria,Mexico,Raw Hide,0.1988477962469873,0.011756241651171949
2007,Austria,Mexico,Wood Products,0.1988477962469873,0.8470165952351403
2007,Austria,Mexico,Textiles,0.1988477962469873,0.08264621827380685
2007,Austria,Mexico,Footwears,0.1988477962469873,0.33176772733091703
2007,Austria,Mexico,Base metal,0.1988477962469873,0.13042741556223147
2007,Austria,Mexico,Machinery/Elec. Equip,0.1988477962469873,0.3139448448451863
2007,Austria,Mexico,Vehicle,0.1988477962469873,0.11461464217163793
2007,Austria,Mexico,Optical/Photo. Instr.,0.1988477962469873,0.14273995322803842
2007,Austria,Mexico,Other,0.1988477962469873,0.08445991629850587
2007,Armenia,Mexico,Agri_Food,6.910987640231292e-06,8.841868878956262e-05
2007,Belgium-Luxembourg,Mexico,Agri_Food,0.44552417221093554,0.23556310401243052
2007,Belgium-Luxembourg,Mexico,Mineral products,0.44552417221093554,0.18797668827971356
2007,Belgium-Luxembourg,Mexico,Chemical,0.44552417221093554,1.7322013620615473
2007,Belgium-Luxembourg,Mexico,Plastic/Rubbers,0.44552417221093554,0.4454457029064596
2007,Belgium-Luxembourg,Mexico,Raw Hide,0.44552417221093554,0.08407544726597341
2007,Belgium-Luxembourg,Mexico,Wood Products,0.44552417221093554,0.15409094938008175
2007,Belgium-Luxembourg,Mexico,Textiles,0.44552417221093554,0.34338031895289267
2007,Belgium-Luxembourg,Mexico,Footwears,0.44552417221093554,0.2840474601583046
2007,Belgium-Luxembourg,Mexico,Base metal,0.44552417221093554,0.6547572489940945
2007,Belgium-Luxembourg,Mexico,Machinery/Elec. Equip,0.44552417221093554,0.2517604358653519
2007,Belgium-Luxembourg,Mexico,Vehicle,0.44552417221093554,0.2939653748718874
2007,Belgium-Luxembourg,Mexico,Optical/Photo. Instr.,0.44552417221093554,0.11077981734514049
2007,Belgium-Luxembourg,Mexico,Other,0.44552417221093554,0.14167670518408074
2007,Bolivia (Plurinational State of),Mexico,Agri_Food,0.012728032449727282,0.005708032838470858
2007,Bolivia (Plurinational State of),Mexico,Mineral products,0.012728032449727282,0.08787180287503397
2007,Bolivia (Plurinational State of),Mexico,Chemical,0.012728032449727282,0.01709435614659377
2007,Bolivia (Plurinational State of),Mexico,Plastic/Rubbers,0.012728032449727282,0.00018063782319821347
2007,Bolivia (Plurinational State of),Mexico,Raw Hide,0.012728032449727282,0.06887662892604014
2007,Bolivia (Plurinational State of),Mexico,Wood Products,0.012728032449727282,0.06684468522559488
2007,Bolivia (Plurinational State of),Mexico,Textiles,0.012728032449727282,0.00961381279181469
2007,Bolivia (Plurinational State of),Mexico,Footwears,0.012728032449727282,0.033284581282528834
2007,Bolivia (Plurinational State of),Mexico,Base metal,0.012728032449727282,0.0022538693204713096
2007,Bolivia (Plurinational State of),Mexico,Optical/Photo. Instr.,0.012728032449727282,3.4404566173320606e-05
2007,Bolivia (Plurinational State of),Mexico,Other,0.012728032449727282,0.0015367474828663458
