year,origin_name,destination_name,industry,export_share,export_share_ind
2007,Rep. of Korea,Afghanistan,Agri_Food,0.021311473230805685,1.6400635894965865
2007,Rep. of Korea,Afghanistan,Mineral products,0.021311473230805685,0.002147112253874045
2007,Rep. of Korea,Afghanistan,Chemical,0.021311473230805685,0.00495081133070023
2007,Rep. of Korea,Afghanistan,Plastic/Rubbers,0.021311473230805685,0.0036750938932610037
2007,Rep. of Korea,Afghanistan,Raw Hide,0.021311473230805685,0.0031450614299093275
2007,Rep. of Korea,Afghanistan,Wood Products,0.021311473230805685,0.0003585007491382674
2007,Rep. of Korea,Afghanistan,Textiles,0.021311473230805685,0.1764879539153485
2007,Rep. of Korea,Afghanistan,Footwears,0.021311473230805685,9.791510358490438e-05
2007,Rep. of Korea,Afghanistan,Base metal,0.021311473230805685,0.002496191107596024
2007,Rep. of Korea,Afghanistan,Machinery/Elec. Equip,0.021311473230805685,0.0016685543474453432
2007,Rep. of Korea,Afghanistan,Vehicle,0.021311473230805685,0.004552902738536403
2007,Rep. of Korea,Afghanistan,Optical/Photo. Instr.,0.021311473230805685,7.56551538505221e-05
2007,Rep. of Korea,Albania,Chemical,0.0015739538849733991,0.0006802879935641861
2007,Rep. of Korea,Albania,Plastic/Rubbers,0.0015739538849733991,0.006782160817541322
2007,Rep. of Korea,Albania,Wood Products,0.0015739538849733991,0.00044583822978438466
2007,Rep. of Korea,Albania,Textiles,0.0015739538849733991,0.00040906647778639544
2007,Rep. of Korea,Albania,Footwears,0.0015739538849733991,0.0008153347777947127
2007,Rep. of Korea,Albania,Base metal,0.0015739538849733991,0.0003365884964545083
2007,Rep. of Korea,Albania,Machinery/Elec. Equip,0.0015739538849733991,0.0008935014197646446
2007,Rep. of Korea,Albania,Vehicle,0.0015739538849733991,0.002913253753251455
2007,Rep. of Korea,Albania,Optical/Photo. Instr.,0.0015739538849733991,0.0019347996416702131
2007,Rep. of Korea,Algeria,Agri_Food,0.16540810888592683,0.001280093767843942
2007,Rep. of Korea,Algeria,Mineral products,0.16540810888592683,1.1413839850332133e-05
2007,Rep. of Korea,Algeria,Chemical,0.16540810888592683,0.04463842988105415
2007,Rep. of Korea,Algeria,Plastic/Rubbers,0.16540810888592683,0.3147620125917302
2007,Rep. of Korea,Algeria,Raw Hide,0.16540810888592683,0.0004888270498965134
2007,Rep. of Korea,Algeria,Wood Products,0.16540810888592683,0.006275420033453354
2007,Rep. of Korea,Algeria,Textiles,0.16540810888592683,0.018714323046627644
2007,Rep. of Korea,Algeria,Footwears,0.16540810888592683,0.020167578013015205
2007,Rep. of Korea,Algeria,Base metal,0.16540810888592683,0.1263112437824331
2007,Rep. of Korea,Algeria,Machinery/Elec. Equip,0.16540810888592683,0.09074332062729602
2007,Rep. of Korea,Algeria,Vehicle,0.16540810888592683,0.4423115462852046
2007,Rep. of Korea,Algeria,Optical/Photo. Instr.,0.16540810888592683,0.015354271013190852
2007,Rep. of Korea,Algeria,Other,0.16540810888592683,0.018284122696232082
2007,Rep. of Korea,American Samoa,Agri_Food,0.0024666715101512244,0.0183487734707763
2007,Rep. of Korea,American Samoa,Plastic/Rubbers,0.0024666715101512244,0.0019102061860581231
2007,Rep. of Korea,American Samoa,Wood Products,0.0024666715101512244,0.00010009883740481577
2007,Rep. of Korea,American Samoa,Base metal,0.0024666715101512244,0.02398676868639423
2007,Rep. of Korea,American Samoa,Machinery/Elec. Equip,0.0024666715101512244,0.00016726265018033145
2007,Rep. of Korea,American Samoa,Vehicle,0.0024666715101512244,0.0005747839628686552
2007,Rep. of Korea,American Samoa,Other,0.0024666715101512244,0.004947394043915579
2007,Rep. of Korea,Andorra,Mineral products,0.001257072941223283,0.0002543471337449784
2007,Rep. of Korea,Andorra,Chemical,0.001257072941223283,0.001586647131930593
2007,Rep. of Korea,Andorra,Plastic/Rubbers,0.001257072941223283,0.000496717251317237
2007,Rep. of Korea,Andorra,Textiles,0.001257072941223283,0.0006293449727397814
2007,Rep. of Korea,Andorra,Footwears,0.001257072941223283,0.0005206141100918002
2007,Rep. of Korea,Andorra,Base metal,0.001257072941223283,7.672578705723935e-06
2007,Rep. of Korea,Andorra,Machinery/Elec. Equip,0.001257072941223283,0.0006087460853380656
2007,Rep. of Korea,Andorra,Vehicle,0.001257072941223283,0.0038527206771501055
2007,Rep. of Korea,Andorra,Optical/Photo. Instr.,0.001257072941223283,0.0004139095047663542
2007,Rep. of Korea,Andorra,Other,0.001257072941223283,0.0022855737020797138
2007,Rep. of Korea,Angola,Agri_Food,0.03394439435439678,0.010529367339943196
2007,Rep. of Korea,Angola,Mineral products,0.03394439435439678,0.0011688663835213674
2007,Rep. of Korea,Angola,Chemical,0.03394439435439678,0.0068976368554061794
2007,Rep. of Korea,Angola,Plastic/Rubbers,0.03394439435439678,0.09810912981281356
2007,Rep. of Korea,Angola,Wood Products,0.03394439435439678,0.020574108368456863
2007,Rep. of Korea,Angola,Textiles,0.03394439435439678,0.02071878391384623
2007,Rep. of Korea,Angola,Footwears,0.03394439435439678,0.02134601709325593
2007,Rep. of Korea,Angola,Base metal,0.03394439435439678,0.044445029042958294
2007,Rep. of Korea,Angola,Machinery/Elec. Equip,0.03394439435439678,0.017401084241877973
2007,Rep. of Korea,Angola,Vehicle,0.03394439435439678,0.0654561580570805
2007,Rep. of Korea,Angola,Optical/Photo. Instr.,0.03394439435439678,0.004284246658095593
2007,Rep. of Korea,Angola,Other,0.03394439435439678,0.31521775912564604
2007,Rep. of Korea,Antigua and Barbuda,Chemical,0.0008525720723511791,0.0003595699894539934
